,Channel,Compound,Date,Negative,Neutral,Positive,Text,Tweet Ago
0,@BBC,0.5515,Mon Mar 12 20:17:27 +0000 2018,0.0,0.771,0.229,"RT @BBCOne: ❤️ Edina, but kind of glad she's not our mum. https://t.co/lQINpsfQuA",1
1,@BBC,-0.7003,Mon Mar 12 20:16:22 +0000 2018,0.303,0.599,0.099,"RT @BBCnireland: Christopher suffered a severe, life-changing, brain injury. It changed his life and the life of his family. True North: My…",2
2,@BBC,0.2263,Mon Mar 12 19:23:01 +0000 2018,0.0,0.84,0.16,🌊 These three women are leading the way in ocean exploration. https://t.co/qwkMRVMiNl,3
3,@BBC,0.2263,Mon Mar 12 18:30:06 +0000 2018,0.0,0.881,0.119,"🗓🥗 A week’s worth of veggie dishes from @ChefTomKerridge, @NigelSlater, @Nigella_Lawson and The @HairyBikers.
👉… https://t.co/VvTZRToT6L",4
4,@BBC,0.5859,Mon Mar 12 17:30:05 +0000 2018,0.0,0.84,0.16,"'There's nothing in the dictionary for that.'

🎶❤️ The amazing moment eight London teens hear an opera singer in th… https://t.co/J448SabIeC",5
5,@BBC,0.0,Mon Mar 12 16:44:15 +0000 2018,0.0,1.0,0.0,"RT @BBCTwo: Meet Marshaal and Amal, two of just six women working at this hotel in Oman.

#AmazingHotels #IWD2018 https://t.co/5zdDAFBrZ9",6
6,@BBC,0.9022,Mon Mar 12 16:24:52 +0000 2018,0.0,0.643,0.357,"RT @BBCOne: To celebrate the life of the amazing Ken Dodd, tonight we will be showing:

22:45 - Arena: Ken Dodd's Happiness
23:45 - Talking…",7
7,@BBC,0.8429,Mon Mar 12 16:17:43 +0000 2018,0.0,0.702,0.298,RT @BBCnireland: AMAZING OPPORTUNITY: We're looking for female directors aged 18-30. Could you make a short film for BBC NI &amp; @bbcartsshow?…,8
8,@BBC,0.0,Mon Mar 12 16:07:16 +0000 2018,0.0,1.0,0.0,"😱 @Beyonce and Jay-Z are going on a joint tour called On The Run II, it has finally been confirmed. 
👉… https://t.co/sG72fSqfRi",9
9,@BBC,-0.3612,Mon Mar 12 15:55:51 +0000 2018,0.116,0.884,0.0,"RT @BBCR1: ""Who is your least favourite Carpool Karaoke guest?""
 
@JKCorden always asks difficult questions... So @grimmers let celebs get…",10
10,@BBC,-0.34,Mon Mar 12 14:00:09 +0000 2018,0.194,0.806,0.0,"😕 Binoculars, wet wipes, glue, and other confusingly gendered products...
👉 https://t.co/iDxK2oSX4R https://t.co/5NxTrzbdb3",11
11,@BBC,0.25,Mon Mar 12 13:30:45 +0000 2018,0.0,0.9,0.1,"French fashion designer Hubert de Givenchy, who created famous looks for Audrey Hepburn and Jackie Kennedy, has die… https://t.co/UuWcTZ46c2",12
12,@BBC,0.0,Mon Mar 12 13:27:27 +0000 2018,0.0,1.0,0.0,"RT @BBCBreakfast: Let's settle this... Which goes first on a scone, cream or jam? 

@MrDanWalker thinks it should be #jamfirst but @LouiseM…",13
13,@BBC,0.0,Mon Mar 12 12:59:05 +0000 2018,0.0,1.0,0.0,'Our clothes can be a sixth sense.' https://t.co/DiN7gnxlon,14
14,@BBC,0.0,Mon Mar 12 12:46:06 +0000 2018,0.0,1.0,0.0,RT @BBCR1: .@thegreatkhalid gives all the goosebumps with his Live Lounge cover of Tracy Chapman's 'Fast Car' ⭐️✨ https://t.co/03fLgeKklj,15
15,@BBC,-0.34,Mon Mar 12 12:40:39 +0000 2018,0.112,0.888,0.0,"RT @bbccomedy: In a nutshell, it's a foregone conclusion that you'll accidentally quote the big man during #ShakespeareWeek. The son of a b…",16
16,@BBC,0.0,Mon Mar 12 12:19:24 +0000 2018,0.0,1.0,0.0,RT @BBCWorld: Miami nightclub shut over horse stunt https://t.co/j4SjWAyDWo,17
17,@BBC,0.0,Mon Mar 12 12:00:09 +0000 2018,0.0,1.0,0.0,"🎭 If you’ve ever been ‘in a pickle’, waited ‘with bated breath’, or gone on ‘a wild goose chase’, then you’ve been… https://t.co/iAh1LB98DU",18
18,@BBC,-0.6542,Mon Mar 12 10:58:16 +0000 2018,0.225,0.709,0.066,"RT @BBCFOUR: Two common hair straightener temperatures: one's fine, but the other will destroy your hair... https://t.co/BEaLyTWdzy",19
19,@BBC,0.7579,Mon Mar 12 10:55:19 +0000 2018,0.071,0.647,0.282,"RT @bbcthree: ""It's great to go to the court knowing there's no ban... I'm still able to practice my faith while playing basketball.""  #per…",20
20,@BBC,-0.5255,Mon Mar 12 10:52:55 +0000 2018,0.159,0.841,0.0,"RT @BBCNewsround: Have you been using emojis wrong this whole time? 🙈Yep, apparently there's an official definition now! https://t.co/Xiwan…",21
21,@BBC,0.2433,Mon Mar 12 09:58:30 +0000 2018,0.119,0.696,0.185,"💔 Sir Ken Dodd, creator of the Diddy Men and one of the most popular comedians of his time, has died aged 90.
👉… https://t.co/Yw0hzqKjyK",22
22,@BBC,-0.1531,Mon Mar 12 09:00:06 +0000 2018,0.264,0.545,0.191,Is this a 'luxury prison' or the best way to prepare offenders for life outside? https://t.co/uqQZwyCC6S,23
23,@BBC,0.2732,Mon Mar 12 08:30:04 +0000 2018,0.133,0.687,0.18,"🍠 Poor, rural societies which ate high-quality, local foods had the best diet and health in mid-Victorian Britain.… https://t.co/P4N0lA74ch",24
24,@BBC,0.0516,Mon Mar 12 08:00:05 +0000 2018,0.174,0.64,0.186,3 out of 4 parents wouldn’t be able to save their baby from choking. https://t.co/pxYSvLtkBN,25
25,@BBC,0.6068,Sun Mar 11 21:39:32 +0000 2018,0.0,0.763,0.237,"RT @bbcthree: ""I felt completely overwhelmed and amazed as soon as he was put on my chest."" https://t.co/3FOgymPjhQ",26
26,@BBC,0.6908,Sun Mar 11 21:22:19 +0000 2018,0.0,0.678,0.322,"🎤✨ Catch the best performances, exclusive backstage footage and photos from #AsianNetworkLive2018 at… https://t.co/nWlJnU6AX9",27
27,@BBC,0.3612,Sun Mar 11 21:02:37 +0000 2018,0.0,0.848,0.152,"RT @BBCOne: Here's to the memories. ❤️
Thank you for watching #CallTheMidwife with us. https://t.co/G1h78O8Qya",28
28,@BBC,0.861,Sun Mar 11 20:00:07 +0000 2018,0.0,0.57,0.43,"Join host @TessDaly for a very special event honouring one of this country's biggest and best-loved entertainers, S… https://t.co/Cym8TQlXhE",29
29,@BBC,0.765,Sun Mar 11 19:54:20 +0000 2018,0.048,0.662,0.29,"RT @bbcouch: ‘I couldn’t reach Millie in her toughest year’

@knight_millie may be celebrating her second silver medal at the Winter Paraly…",30
30,@BBC,0.296,Sun Mar 11 19:52:28 +0000 2018,0.097,0.767,0.137,RT @bbcsoutheast: It’s with great sadness we have to report that our sports reporter Neil Bell passed away in the early hours of Sunday mor…,31
31,@BBC,0.4939,Sun Mar 11 19:51:36 +0000 2018,0.0,0.868,0.132,RT @BBCBreakfast: Mary Beard's documentaries about the Romans have brought their ancient world to life - now she's turning her hand to the…,32
32,@BBC,-0.7481,Sun Mar 11 19:51:25 +0000 2018,0.285,0.715,0.0,"RT @BBCiPlayer: I will not allow that man...that nobody...to kill my brother twice. #ACSVersace, now on BBC iPlayer: https://t.co/M1ixQKBH3…",33
33,@BBC,0.0,Sun Mar 11 19:51:12 +0000 2018,0.0,1.0,0.0,RT @BBCOne: Mums have to put up with some right rubbish. https://t.co/mN7f23pPub,34
34,@BBC,0.0,Sun Mar 11 19:50:11 +0000 2018,0.0,1.0,0.0,RT @BBCSpringwatch: Actual Mother's Day sibling selfie 😘👩‍👧‍👦  #selfie #mothersday #motheringsunday #sunday #winterwatch #wildlife #littleo…,35
35,@BBC,0.0,Sun Mar 11 19:49:56 +0000 2018,0.0,1.0,0.0,RT @cbbc: Tanya Muzinda is on a mission to conquer the motocross world. Follow her story Monday 5.30pm 🏍️💪 https://t.co/Z9w1GJZS45,36
36,@BBC,-0.5994,Sun Mar 11 19:00:03 +0000 2018,0.163,0.837,0.0,"'That was the end of my childhood.'

💔Money saving expert @MartinSLewis opens up about the death of his mum, three… https://t.co/zFdD7gDBmH",37
37,@BBC,0.2263,Sun Mar 11 18:00:15 +0000 2018,0.213,0.435,0.353,❤️ These creations are helping to comfort children during their cancer treatment. https://t.co/qque7xnzNx,38
38,@BBC,0.3818,Sun Mar 11 17:02:03 +0000 2018,0.0,0.794,0.206,🐑 Ewe won't believe how this farmer revives frozen little lambs.  https://t.co/z1UvoIiRXY,39
39,@BBC,0.0,Sun Mar 11 16:55:19 +0000 2018,0.0,1.0,0.0,"RT @BBCMOTD: John Motson in his element during his last ever LIVE commentary (would you believe it?!)
50 years as a commentator🎙
10 World C…",40
40,@BBC,0.0,Sun Mar 11 16:00:04 +0000 2018,0.0,1.0,0.0,"By 2050, 30-50% of all species could be heading towards extinction. https://t.co/2TYrhIiBIw",41
41,@BBC,0.0,Sun Mar 11 15:01:05 +0000 2018,0.0,1.0,0.0,🗑🚀 Tomorrow’s space scientists will have to deal with a monumental amount of space junk left from previous spacecra… https://t.co/IJTpc5TBsd,42
42,@BBC,0.0,Sun Mar 11 14:43:09 +0000 2018,0.0,1.0,0.0,"RT @5liveSport: For the final time...

The legendary John Motson is in our commentary box 🎙️⚽️

He'll be commentating on #Arsenal vs #Watfo…",43
43,@BBC,-0.0772,Sun Mar 11 14:00:04 +0000 2018,0.284,0.459,0.257,Making fake videos just got easier. https://t.co/VSP9bwHVNZ,44
44,@BBC,-0.5267,Sun Mar 11 12:33:04 +0000 2018,0.145,0.855,0.0,"Captain America teams up with Black Widow to get to the bottom of a conspiracy. 🔥💪🇺🇸

Captain America: The Winter S… https://t.co/yDWYJRUgGi",45
45,@BBC,0.0,Sun Mar 11 12:00:03 +0000 2018,0.0,1.0,0.0,🚐 Meet Om Abdullah - Egypt's first official female minibus driver. https://t.co/Z4fmE1k5ph,46
46,@BBC,-0.2755,Sun Mar 11 11:31:52 +0000 2018,0.095,0.905,0.0,"RT @BBCSport: We're not emotionally ready for this.

John Motson will deliver his final live BBC commentary today.

More details👇
https://t…",47
47,@BBC,0.1326,Sun Mar 11 11:10:49 +0000 2018,0.05,0.877,0.073,"RT @CBeebiesHQ: Doesn't matter if your family has:

One Mum👩‍👦

Two Mums 👩‍👩‍👧‍👧

A Grandmum 👵🏼

... they all want a lie-in!

#HappyMothers…",48
48,@BBC,0.7717,Sun Mar 11 10:32:04 +0000 2018,0.0,0.645,0.355,"🍰 Surprise your mum with a homemade treat this #MothersDay – from easy cupcakes to luscious layer cakes.
👉… https://t.co/p7n5lo2ziD",49
49,@BBC,-0.25,Sun Mar 11 10:24:05 +0000 2018,0.155,0.747,0.098,"RT @BBCScotland: Undercover filming reveals Scotland's growing 'bag' problem.

See more from #ShortStuff -  https://t.co/orhxUmskEd 

#come…",50
50,@BBC,0.0,Sun Mar 11 10:05:01 +0000 2018,0.0,1.0,0.0,🐷 Blossom the pig can sit on command! https://t.co/mRGtuk0zqh,51
51,@BBC,0.6808,Sun Mar 11 10:02:15 +0000 2018,0.0,0.789,0.211,"RT @BBC6Music: 🎂 6 Music launched 16 years ago today. 

When you turned 16, which album did you think was a masterpiece? Do you still love…",52
52,@BBC,0.0,Sun Mar 11 09:38:23 +0000 2018,0.0,1.0,0.0,"RT @1Xtra: The new breed a dancehall artist @thebellablair performs for @davidrodigan #1XtraJamaica 

📺▶ https://t.co/MrnHDz2ZyL https://t.…",53
53,@BBC,0.7847,Sun Mar 11 09:35:38 +0000 2018,0.0,0.743,0.257,"RT @BBCRadio3: ""To my first Love, my Mother, on whose knee
I learnt love-lore that is not troublesome""
Christina Rossetti's 'Sonnets are fu…",54
54,@BBC,0.5803,Sun Mar 11 09:33:16 +0000 2018,0.0,0.869,0.131,RT @TWBBC: Fry-up anyone?  🌭🥓🍳 Did you know just 1.5 sausages could reduce your lifespan by 30 minutes? But 2-3 cups of coffee could gain y…,55
55,@BBC,0.0,Sun Mar 11 09:30:10 +0000 2018,0.0,1.0,0.0,During the Middle Ages the custom developed of allowing people who had moved away to return and visit their mothers… https://t.co/UQD2ySeRH4,56
56,@BBC,0.0,Sun Mar 11 08:32:02 +0000 2018,0.0,1.0,0.0,🎤🎶 Singing is for everyone... even if you can't sing. https://t.co/eVIdGhswUT,57
57,@BBC,0.8176,Sun Mar 11 08:02:00 +0000 2018,0.0,0.737,0.263,"❤️ Happy #MothersDay to all of the amazing mums out there, the mums-to-be and the mums who live on in our hearts.… https://t.co/v9yrzvfhqO",58
58,@BBC,0.784,Sun Mar 11 08:00:48 +0000 2018,0.0,0.734,0.266,"RT @BBCWales: 💐 What better way to say Happy Mother's Day than with a marvellous marshmallow bouquet! 💐

🍡 Let little hands tackle this tas…",59
59,@BBC,0.765,Sun Mar 11 07:49:57 +0000 2018,0.0,0.602,0.398,RT @BBCTwo: Celebrate #MothersDay with the #Motherland guide to good parenting... 😂 https://t.co/GMZLEfWuaF,60
60,@BBC,0.4019,Sun Mar 11 02:07:01 +0000 2018,0.0,0.838,0.162,"RT @bbcasiannetwork: 🎇The Desi party don't start until you've heard @jennyjohalmusic singing 'Narma'  🎇 
#AsianNetworkLive https://t.co/lah…",61
61,@BBC,0.6783,Sat Mar 10 20:43:01 +0000 2018,0.0,0.828,0.172,"RT @BBCRadio2: She did it! Over 300 miles cycled. Over £500,000 raised so far for @SportRelief.

@ZoeTheBall, we are so proud! 👏

Donate to…",62
62,@BBC,-0.4019,Sat Mar 10 20:41:35 +0000 2018,0.137,0.863,0.0,"RT @BBCTwo: A shocking moment in history that changed the fashion world forever.

#ACSVersace continues Wednesday, 9pm, @BBCTwo. https://t.…",63
63,@BBC,0.4588,Sat Mar 10 20:40:14 +0000 2018,0.0,0.842,0.158,"RT @BBCWales: Meet YouTube superstar @Gonth93

💰 Welcome to the world of #YoungWelshPrettyMinted 💰

Tonight, 10.35pm - @BBCOne Wales
Availa…",64
64,@BBC,0.4605,Sat Mar 10 20:28:00 +0000 2018,0.155,0.552,0.293,"RT @bbcrb: This. Is. So. Cute! 😍
Who wouldn't love a tiny meal like this! 🤤🥘 https://t.co/73t4rhbopo",65
65,@BBC,0.6588,Sat Mar 10 20:27:17 +0000 2018,0.0,0.785,0.215,"RT @BBCScotland: Cathy's been having a great time at the spa! 🇧🇷

Watch #TwoDoorsDown on @BBCiPlayer - https://t.co/JgbkHFXufb https://t.co…",66
66,@BBC,0.4106,Sat Mar 10 20:25:58 +0000 2018,0.0,0.82,0.18,"RT @bbcasiannetwork: 🎤 Don't miss a single bit of #AsianNetworkLive🎶 
Here's how to make sure you catch ALL the action 👉 https://t.co/AZIif…",67
67,@BBC,-0.8316,Sat Mar 10 20:24:22 +0000 2018,0.281,0.719,0.0,RT @BBCiPlayer: Police officer Kris was left paralysed after being hit by a van in the Westminster bridge terrorist attack. Seven months la…,68
68,@BBC,0.5267,Sat Mar 10 20:24:07 +0000 2018,0.0,0.815,0.185,"RT @BBCSport: Ireland have been crowned Six Nations champions with a match to spare.

https://t.co/YFyOxSY0Tp #SixNations https://t.co/K34r…",69
69,@BBC,0.0,Sat Mar 10 18:11:11 +0000 2018,0.0,1.0,0.0,"RT @bbcasiannetwork: 💥#AsianNetworkLive is taking over the airwaves tonight!
Catch all the action from
🔴 6pm on @bbcasiannetwork
🔴 7pm on @…",70
70,@BBC,0.0,Sat Mar 10 18:10:57 +0000 2018,0.0,1.0,0.0,"RT @bbcasiannetwork: Which #AsianNetworkLive performance can't you wait for? 🤩 
🎤 @jaysean
🎤 @JasmineSandlas
🎤 @lottoboyzz_
🎤 @omgAdamSaleh…",71
71,@BBC,0.0,Sat Mar 10 18:00:13 +0000 2018,0.0,1.0,0.0,🐮🥛 Glass from the past. https://t.co/stRtHiAGGI,72
72,@BBC,0.0,Sat Mar 10 17:00:18 +0000 2018,0.0,1.0,0.0,"📸❤️ A different portrait of black fatherhood. 
👉 https://t.co/SX1Lbqsss0 https://t.co/WQnNbAfIYK",73
